#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2023 02 01 00 26 999 99.0 99.0  0.87 16.67  9.69   2 9999.0 999.0  12.5 999.0 99.0 99.00
2023 02 01 00 56 999 99.0 99.0  0.86 16.67  8.85 358 9999.0 999.0  12.5 999.0 99.0 99.00
2023 02 01 01 26 999 99.0 99.0  0.88 16.67  8.48   2 9999.0 999.0  12.4 999.0 99.0 99.00
2023 02 01 01 56 999 99.0 99.0  0.95 16.67  9.20   3 9999.0 999.0  12.4 999.0 99.0 99.00
2023 02 01 02 26 999 99.0 99.0  0.89 16.67  8.32   3 9999.0 999.0  12.4 999.0 99.0 99.00
2023 02 01 02 56 999 99.0 99.0  0.88 15.38  8.29   6 9999.0 999.0  12.4 999.0 99.0 99.00
2023 02 01 03 26 999 99.0 99.0  0.87 16.67  8.35   7 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 03 56 999 99.0 99.0  0.81 16.67  8.11   3 9999.0 999.0  12.4 999.0 99.0 99.00
2023 02 01 04 26 999 99.0 99.0  0.83 16.67  8.60 359 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 04 56 999 99.0 99.0  0.93 16.67  9.53   2 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 05 26 999 99.0 99.0  0.86 16.67  8.94   0 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 05 56 999 99.0 99.0  0.91 16.67  9.89   3 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 06 26 999 99.0 99.0  0.76 15.38  9.25   5 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 06 56 999 99.0 99.0  0.76 16.67  9.24 359 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 07 26 999 99.0 99.0  0.76 16.67  9.78   5 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 07 56 999 99.0 99.0  0.75 16.67 10.02   2 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 08 26 999 99.0 99.0  0.79 14.29  9.90   3 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 08 56 999 99.0 99.0  0.74 16.67  9.66   0 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 09 26 999 99.0 99.0  0.78 16.67  9.53   0 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 09 56 999 99.0 99.0  0.71 14.29  8.28 359 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 10 26 999 99.0 99.0  0.74 14.29  8.87 359 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 10 56 999 99.0 99.0  0.79 16.67  9.92   0 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 11 26 999 99.0 99.0  0.89 16.67 10.36   6 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 01 11 56 999 99.0 99.0  0.87 16.67  9.98   2 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 01 12 26 999 99.0 99.0  0.86 15.38 10.37 355 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 01 12 56 999 99.0 99.0  0.80 15.38  9.84   6 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 13 26 999 99.0 99.0  0.85 16.67 10.45   2 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 13 56 999 99.0 99.0  0.83 16.67 10.07   6 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 14 26 999 99.0 99.0  0.97 16.67 11.02   2 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 14 56 999 99.0 99.0  0.86 16.67  9.86   9 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 01 15 26 999 99.0 99.0  0.94 16.67 10.38  10 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 15 56 999 99.0 99.0  0.96 16.67 10.28   3 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 01 16 26 999 99.0 99.0  0.82 15.38  9.93 359 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 01 16 56 999 99.0 99.0  0.83 16.67 10.34   0 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 01 17 26 999 99.0 99.0  0.80 16.67  9.95 358 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 01 17 56 999 99.0 99.0  0.88 15.38 10.74 359 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 01 18 26 999 99.0 99.0  0.89 14.29 10.33 356 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 18 56 999 99.0 99.0  0.86 16.67 10.43   2 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 19 26 999 99.0 99.0  0.83 15.38 10.45   6 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 19 56 999 99.0 99.0  0.84 13.33 10.95 355 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 20 26 999 99.0 99.0  0.90 13.33 11.28 352 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 20 56 999 99.0 99.0  0.76 15.38 10.17 356 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 21 26 999 99.0 99.0  0.82 15.38 11.14   7 9999.0 999.0  12.4 999.0 99.0 99.00
2023 02 01 21 56 999 99.0 99.0  0.72 15.38 11.03   2 9999.0 999.0  12.4 999.0 99.0 99.00
2023 02 01 22 26 999 99.0 99.0  0.70 14.29 10.81 359 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 22 56 999 99.0 99.0  0.69 15.38 10.46   0 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 23 26 999 99.0 99.0  0.64 12.50  9.80 353 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 01 23 56 999 99.0 99.0  0.80 15.38 11.21   3 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 02 00 26 999 99.0 99.0  0.74 13.33 10.31 355 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 02 00 56 999 99.0 99.0  0.73 13.33  9.57 359 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 01 26 999 99.0 99.0  0.83 13.33 10.66 355 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 01 56 999 99.0 99.0  0.84 14.29 11.10 355 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 02 26 999 99.0 99.0  0.86 12.50 10.93 343 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 02 56 999 99.0 99.0  0.89 14.29 11.41   0 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 03 26 999 99.0 99.0  0.97 13.33 11.39 349 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 03 56 999 99.0 99.0  0.75 13.33 10.45 358 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 04 26 999 99.0 99.0  0.81 12.50 10.64 351 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 02 04 56 999 99.0 99.0  0.89 15.38 11.17 356 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 02 05 26 999 99.0 99.0  0.91 13.33 11.12 353 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 02 05 56 999 99.0 99.0  0.98 13.33 11.46 355 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 02 06 26 999 99.0 99.0  0.87 11.76 11.07 349 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 02 06 56 999 99.0 99.0  0.90 13.33 11.25 355 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 02 07 26 999 99.0 99.0  0.94 12.50 11.21 348 9999.0 999.0  12.3 999.0 99.0 99.00
2023 02 02 07 56 999 99.0 99.0  0.86 15.38 11.41 359 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 08 26 999 99.0 99.0  0.97 13.33 11.62 352 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 08 56 999 99.0 99.0  0.92 12.50 11.48 351 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 09 26 999 99.0 99.0  0.86 11.76 11.12 348 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 09 56 999 99.0 99.0  0.91 14.29 11.42 355 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 10 26 999 99.0 99.0  0.84 11.76 11.12 346 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 02 10 56 999 99.0 99.0  0.89 15.38 11.43 359 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 11 26 999 99.0 99.0  0.85 13.33 11.40 352 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 11 56 999 99.0 99.0  0.89 14.29 11.37 356 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 12 26 999 99.0 99.0  0.83 15.38 11.27 356 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 12 56 999 99.0 99.0  0.83 14.29 11.07 355 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 13 26 999 99.0 99.0  0.90 12.50 10.97 349 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 13 56 999 99.0 99.0  0.76 13.33 10.24 352 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 14 26 999 99.0 99.0  0.89 13.33 10.60 358 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 02 14 56 999 99.0 99.0  0.85 13.33 10.18 356 9999.0 999.0  12.2 999.0 99.0 99.00
2023 02 02 15 26 999 99.0 99.0  0.78 14.29 10.11 356 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 02 15 56 999 99.0 99.0  0.82 12.50 10.38 346 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 02 16 26 999 99.0 99.0  0.74 14.29 10.40 356 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 02 16 56 999 99.0 99.0  0.88 13.33 11.41 348 9999.0 999.0  12.1 999.0 99.0 99.00
2023 02 02 17 26 999 99.0 99.0  0.78 12.50 10.77 351 9999.0 999.0  12.1 999.0 99.0 99.00
